,Demographic,Dataset,race,Q1,Pseudo-Verification
0,Asian,Realism Celebrities,Arab or Middle Eastern,1.0,1.0
1,Male,Realism Celebrities,Arab or Middle Eastern,1.0,1.0
2,Black,SDv2.1 Celebrities,East Asian,1.0,1.0
3,Female,Realism Celebrities,Arab or Middle Eastern,1.0,1.0
4,Female,Realism Celebrities,East Asian,1.0,1.0
6,Indian,Realism Celebrities,East Asian,1.0,1.0
9,Indian,SDv2.1 Celebrities,South Asian,1.0,1.0
10,Male,Realism Celebrities,East Asian,1.0,1.0
11,Black,Realism Celebrities,East Asian,1.0,1.0
12,Male,Realism Celebrities,South Asian,1.0,1.0
14,White,Realism Celebrities,Arab or Middle Eastern,1.0,1.0
15,White,Realism Celebrities,East Asian,1.0,1.0
19,White,SDv2.1 Celebrities,South Asian,1.0,1.0
21,Indian,Realism Celebrities,Arab or Middle Eastern,1.0,1.0
22,Asian,Realism Celebrities,East Asian,1.0,1.0
23,Asian,Realism Celebrities,South Asian,1.0,1.0
24,Asian,SDv2.1 Celebrities,East Asian,1.0,1.0
25,Black,Realism Celebrities,Arab or Middle Eastern,1.0,1.0
26,White,SDv2.1 Celebrities,White or Caucasian,0.9719626168224299,0.985981308411215
27,Black,SDv2.1 Celebrities,White or Caucasian,0.9719626168224299,0.985981308411215
28,Black,SDv2.1 Celebrities,Hispanic or Latino,0.9701492537313433,0.9850746268656716
29,Indian,Realism Non-Celebrities,Hispanic or Latino,0.9696969696969697,0.9848484848484849
30,Indian,Realism Celebrities,Black or African American,0.9692307692307692,0.9846153846153847
31,Indian,Realism Celebrities,Hispanic or Latino,0.9682539682539683,0.9841269841269842
32,Black,SDv2.1 Celebrities,Black or African American,0.9659090909090909,0.9829545454545454
33,Indian,SDv2.1 Celebrities,White or Caucasian,0.9649122807017544,0.9824561403508771
34,Male,SDv2.1 Celebrities,White or Caucasian,0.9602649006622517,0.9801324503311258
35,White,Realism Celebrities,White or Caucasian,0.9584664536741214,0.9792332268370607
36,White,Realism Celebrities,Hispanic or Latino,0.9583333333333334,0.9791666666666667
37,Black,Realism Celebrities,Hispanic or Latino,0.9583333333333334,0.9791666666666667
38,Male,SDv2.1 Celebrities,Black or African American,0.957345971563981,0.9786729857819905
39,Male,Realism Celebrities,Hispanic or Latino,0.9541284403669725,0.9770642201834863
40,Male,Realism Non-Celebrities,Black or African American,0.9539473684210527,0.9769736842105263
42,White,SDv2.1 Celebrities,Black or African American,0.9509803921568627,0.9754901960784313
43,Black,Realism Celebrities,White or Caucasian,0.9488188976377953,0.9744094488188977
44,Black,Realism Celebrities,Black or African American,0.9482758620689655,0.9741379310344828
45,Indian,Realism Celebrities,White or Caucasian,0.9455128205128205,0.9727564102564102
47,Indian,SDv2.1 Celebrities,Black or African American,0.9439252336448598,0.9719626168224299
48,Male,Realism Celebrities,Black or African American,0.9439252336448598,0.9719626168224299
49,Black,Realism Non-Celebrities,Black or African American,0.9436619718309859,0.971830985915493
50,Female,Realism Celebrities,Hispanic or Latino,0.9424460431654677,0.9712230215827338
51,Male,Realism Celebrities,White or Caucasian,0.9415807560137457,0.9707903780068728
53,Female,SDv2.1 Celebrities,White or Caucasian,0.9377777777777778,0.9688888888888889
56,Female,Realism Celebrities,White or Caucasian,0.9301919720767888,0.9650959860383944
57,Male,SDv2.1 Celebrities,Hispanic or Latino,0.928,0.964
58,Indian,Realism Non-Celebrities,Black or African American,0.925,0.9625
59,Male,Realism Non-Celebrities,Hispanic or Latino,0.9230769230769231,0.9615384615384616
60,Black,SDv2.1 Celebrities,South Asian,0.9230769230769231,0.9615384615384616
61,Indian,Realism Non-Celebrities,White or Caucasian,0.9210526315789473,0.9605263157894737
62,Indian,SDv2.1 Celebrities,Hispanic or Latino,0.9206349206349206,0.9603174603174602
63,Female,SDv2.1 Celebrities,Black or African American,0.9202127659574468,0.9601063829787234
65,Female,Realism Celebrities,Black or African American,0.9166666666666666,0.9583333333333333
66,Male,Realism Non-Celebrities,White or Caucasian,0.9127105666156202,0.9563552833078102
67,Asian,Realism Celebrities,Black or African American,0.9117647058823529,0.9558823529411764
68,Asian,Realism Non-Celebrities,Hispanic or Latino,0.9090909090909091,0.9545454545454546
69,Black,Realism Non-Celebrities,White or Caucasian,0.9088319088319088,0.9544159544159544
70,Asian,Realism Celebrities,Hispanic or Latino,0.9076923076923077,0.9538461538461538
71,Asian,SDv2.1 Celebrities,Black or African American,0.9019607843137255,0.9509803921568627
72,Female,SDv2.1 Celebrities,South Asian,0.9,0.95
73,Male,SDv2.1 Celebrities,East Asian,0.9,0.95
74,Female,SDv2.1 Celebrities,Hispanic or Latino,0.8962264150943396,0.9481132075471699
75,Asian,SDv2.1 Celebrities,White or Caucasian,0.8947368421052632,0.9473684210526316
76,White,SDv2.1 Celebrities,East Asian,0.8888888888888888,0.9444444444444444
77,Asian,Realism Celebrities,White or Caucasian,0.8876811594202898,0.9438405797101449
78,Asian,Realism Non-Celebrities,Black or African American,0.8863636363636364,0.9431818181818181
79,White,Realism Non-Celebrities,White or Caucasian,0.8833819241982507,0.9416909620991254
80,White,Realism Celebrities,Black or African American,0.8833333333333333,0.9416666666666667
81,White,Realism Non-Celebrities,Black or African American,0.8831168831168831,0.9415584415584415
82,Black,Realism Celebrities,South Asian,0.875,0.9375
84,White,SDv2.1 Celebrities,Hispanic or Latino,0.8727272727272727,0.9363636363636363
86,Asian,SDv2.1 Celebrities,Hispanic or Latino,0.8695652173913043,0.9347826086956521
88,Female,Realism Non-Celebrities,White or Caucasian,0.8665730337078652,0.9332865168539326
89,Male,SDv2.1 Celebrities,South Asian,0.8636363636363636,0.9318181818181819
90,Female,Realism Non-Celebrities,Black or African American,0.8626760563380281,0.931338028169014
92,White,Realism Non-Celebrities,Hispanic or Latino,0.8518518518518519,0.9259259259259259
93,Asian,Realism Non-Celebrities,White or Caucasian,0.8389057750759878,0.9194528875379939
94,Asian,Realism Non-Celebrities,East Asian,0.8333333333333334,0.9166666666666667
95,Female,Realism Non-Celebrities,Hispanic or Latino,0.8301886792452831,0.9150943396226415
96,Female,SDv2.1 Celebrities,East Asian,0.8181818181818182,0.9090909090909092
98,White,Realism Celebrities,South Asian,0.8,0.9
99,Black,Realism Non-Celebrities,Hispanic or Latino,0.7391304347826086,0.8695652173913043
100,Male,Realism Non-Celebrities,East Asian,0.7272727272727273,0.8636363636363636
101,White,Realism Non-Celebrities,East Asian,0.7142857142857143,0.8571428571428572
103,Female,Realism Celebrities,South Asian,0.6666666666666666,0.8333333333333333
105,Asian,SDv2.1 Celebrities,South Asian,0.6666666666666666,0.8333333333333333
108,Indian,SDv2.1 Celebrities,East Asian,0.6,0.8
109,Female,Realism Non-Celebrities,East Asian,0.6,0.8
111,Indian,Realism Celebrities,South Asian,0.5,0.75
112,Black,Realism Non-Celebrities,East Asian,0.5,0.75
113,Indian,Realism Non-Celebrities,East Asian,0.5,0.75
